Hour,Day,Rain
11,10/04/2018,True
12,10/04/2018,True
13,10/04/2018,True
14,10/04/2018,True
15,10/04/2018,True
16,10/04/2018,True
17,10/04/2018,True
18,10/04/2018,True
19,10/04/2018,True
20,10/04/2018,True
21,10/04/2018,True
22,10/04/2018,True
23,10/04/2018,True
0,11/04/2018,True
1,11/04/2018,True
2,11/04/2018,True
3,11/04/2018,False
4,11/04/2018,False
5,11/04/2018,False
6,11/04/2018,False
7,11/04/2018,False
8,11/04/2018,True
9,11/04/2018,True
10,11/04/2018,False
11,11/04/2018,False
12,11/04/2018,False
13,11/04/2018,False
14,11/04/2018,False
15,11/04/2018,False
16,11/04/2018,False
17,11/04/2018,False
18,11/04/2018,False
19,11/04/2018,False
20,11/04/2018,True
21,11/04/2018,False
22,11/04/2018,True
23,11/04/2018,False
0,12/04/2018,False
1,12/04/2018,True
2,12/04/2018,True
3,12/04/2018,True
4,12/04/2018,True
5,12/04/2018,True
6,12/04/2018,True
7,12/04/2018,True
8,12/04/2018,True
9,12/04/2018,True
10,12/04/2018,False
11,12/04/2018,True
12,12/04/2018,True
13,12/04/2018,False
14,12/04/2018,False
15,12/04/2018,False
